id,commune_name,commune_name_ascii,daira_name,daira_name_ascii,wilaya_code,wilaya_name,wilaya_name_ascii,osm_id
1,أدرار,Adrar,أدرار,Adrar,01,أدرار,Adrar,4171602
2,اقبلي,Akabli,أولف,Aoulef,01,أدرار,Adrar,4171603
3,أوقروت,Aougrout,أوقروت,Aougrout,49,تيميمون,Timimoun,4171604
4,أولف,Aoulef,أولف,Aoulef,01,أدرار,Adrar,4171605
5,برج باجي مختار,Bordj Badji Mokhtar,برج باجي مختار,Bordj Badji Mokhtar,50,برج باجي مختار,Bordj Badji Mokhtar,4171606
6,بودة,Bouda,أدرار,Adrar,01,أدرار,Adrar,4171607
7,شروين,Charouine,شروين,Charouine,49,تيميمون,Timimoun,4171610
8,دلدول,Deldoul,أوقروت,Aougrout,49,تيميمون,Timimoun,4171608
9,فنوغيل,Fenoughil,فنوغيل,Fenoughil,01,أدرار,Adrar,4171609
10,إن زغمير,In Zghmir,زاوية كنتة,Zaouiat Kounta,01,أدرار,Adrar,4171611
11,قصر قدور,Ksar Kaddour,تنركوك,Tinerkouk,49,تيميمون,Timimoun,4171612
12,المطارفة,Metarfa,أوقروت,Aougrout,49,تيميمون,Timimoun,4171613
13,أولاد أحمد تيمي,Ouled Ahmed Timmi,أدرار,Adrar,01,أدرار,Adrar,4171614
14,أولاد عيسى,Ouled Aissa,شروين,Charouine,49,تيميمون,Timimoun,4171615
15,أولاد السعيد,Ouled Said,تيميمون,Timimoun,49,تيميمون,Timimoun,4171616
16,رقان,Reggane,رقان,Reggane,01,أدرار,Adrar,4171617
17,سالي,Sali,رقان,Reggane,01,أدرار,Adrar,4171618
18,السبع,Sebaa,تسابيت,Tsabit,01,أدرار,Adrar,4171619
19,طالمين,Talmine,شروين,Charouine,49,تيميمون,Timimoun,4171620
20,تامنطيط,Tamantit,فنوغيل,Fenoughil,01,أدرار,Adrar,4171621
21,تامست,Tamest,فنوغيل,Fenoughil,01,أدرار,Adrar,4171622
22,تيمقتن,Timekten,أولف,Aoulef,01,أدرار,Adrar,4171628
23,تيمياوين,Timiaouine,برج باجي مختار,Bordj Badji Mokhtar,50,برج باجي مختار,Bordj Badji Mokhtar,4171623
24,تيميمون,Timimoun,تيميمون,Timimoun,49,تيميمون,Timimoun,4171624
25,تنركوك,Tinerkouk,تنركوك,Tinerkouk,49,تيميمون,Timimoun,4171625
26,تيت,Tit,أولف,Aoulef,01,أدرار,Adrar,4171626
27,تسابيت,Tsabit,تسابيت,Tsabit,01,أدرار,Adrar,4171627
28,زاوية كنتة,Zaouiet Kounta,زاوية كنتة,Zaouiat Kounta,01,أدرار,Adrar,4171638
29,أبو الحسن,Abou El Hassane,أبو الحسن,Abou El Hassane,02, الشلف,Chlef,4844288
30,عين مران,Ain Merane,عين مران,Ain Merane,02, الشلف,Chlef,4821631
31,بنايرية,Benairia,الزبوجة,Zeboudja,02, الشلف,Chlef,5147901
32,بني بوعتاب,Beni  Bouattab,الكريمية,El Karimia,02, الشلف,Chlef,2785325
33,بني حواء,Beni Haoua,بني حواء,Beni Haoua,02, الشلف,Chlef,6682055
34,بني راشد,Beni Rached,وادي الفضة,Oued Fodda,02, الشلف,Chlef,5124256
35,بوقادير,Boukadir,بوقادير,Boukadir,02, الشلف,Chlef,4564555
36,بوزغاية,Bouzeghaia,الزبوجة,Zeboudja,02, الشلف,Chlef,5147952
37,بريرة,Breira,بني حواء,Beni Haoua,02, الشلف,Chlef,5130868
38,الشطية,Chettia,أولاد فارس,Ouled Fares,02, الشلف,Chlef,4542228
39,الشلف,Chlef,الشلف,Chlef,02, الشلف,Chlef,1283740
40,الظهرة,Dahra,تاوقريت,Taougrit,02, الشلف,Chlef,4813363
41,الحجاج,El Hadjadj,أولاد بن عبد القادر,Ouled Ben Abdelkader,02, الشلف,Chlef,2801336
42,الكريمية,El Karimia,الكريمية,El Karimia,02, الشلف,Chlef,2785546
43,المرسى,El Marsa,المرسى,El Marsa,02, الشلف,Chlef,4813524
44,حرشون,Harchoun,الكريمية,El Karimia,02, الشلف,Chlef,2792071
45,الهرانفة,Herenfa,عين مران,Ain Merane,02, الشلف,Chlef,4830347
46,الأبيض مجاجة,Labiod Medjadja,أولاد فارس,Ouled Fares,02, الشلف,Chlef,5126924
47,مصدق,Moussadek,المرسى,El Marsa,02, الشلف,Chlef,4832928
48,وادي الفضة,Oued Fodda,وادي الفضة,Oued Fodda,02, الشلف,Chlef,2789469
49,وادي قوسين,Oued Goussine,بني حواء,Beni Haoua,02, الشلف,Chlef,5139279
50,وادي سلي,Oued Sly,بوقادير,Boukadir,02, الشلف,Chlef,4546198
51,أولاد عباس,Ouled Abbes,وادي الفضة,Oued Fodda,02, الشلف,Chlef,4295685
52,أولاد بن عبد القادر,Ouled Ben Abdelkader,أولاد بن عبد القادر,Ouled Ben Abdelkader,02, الشلف,Chlef,2803637
53,أولاد فارس,Ouled Fares,أولاد فارس,Ouled Fares,02, الشلف,Chlef,4826404
54,أم الدروع,Oum Drou,الشلف,Chlef,02, الشلف,Chlef,4295551
55,سنجاس,Sendjas,الشلف,Chlef,02, الشلف,Chlef,2799177
56,سيدي عبد الرحمن,Sidi Abderrahmane,تنس,Tenes,02, الشلف,Chlef,4843814
57,سيدي عكاشة,Sidi Akkacha,تنس,Tenes,02, الشلف,Chlef,5151277
58,الصبحة,Sobha,بوقادير,Boukadir,02, الشلف,Chlef,4822051
59,تاجنة,Tadjena,أبو الحسن,Abou El Hassane,02, الشلف,Chlef,4833525
60,تلعصة,Talassa,أبو الحسن,Abou El Hassane,02, الشلف,Chlef,4836837
61,تاوقريت,Taougrit,تاوقريت,Taougrit,02, الشلف,Chlef,4813599
62,تنس,Tenes,تنس,Tenes,02, الشلف,Chlef,6532382
63,الزبوجة,Zeboudja,الزبوجة,Zeboudja,02, الشلف,Chlef,5126947
64,أفلو,Aflou,أفلو,Aflou,03,الأغواط,Laghouat,6810447
65,عين ماضي,Ain Madhi,عين ماضي,Ain Madhi,03,الأغواط,Laghouat,6546012
66,عين سيدي علي,Ain Sidi Ali,قتلة سيدي سعيد,Gueltat Sidi Saad,03,الأغواط,Laghouat,6546013
67,البيضاء,El Beidha,قتلة سيدي سعيد,Gueltat Sidi Saad,03,الأغواط,Laghouat,6546014
68,بن ناصر بن شهرة,Benacer Benchohra,قصر الحيران,Ksar El Hirane,03,الأغواط,Laghouat,6546015
69,بريدة,Brida,بريدة,Brida,03,الأغواط,Laghouat,6546016
70,العسافية,El Assafia,سيدي مخلوف,Sidi Makhlouf,03,الأغواط,Laghouat,6546017
71,الغيشة,El Ghicha,الغيشة,El Ghicha,03,الأغواط,Laghouat,6546018
72,الحويطة,El Houaita,عين ماضي,Ain Madhi,03,الأغواط,Laghouat,6546019
73,قلتة سيدي سعد,Gueltat Sidi Saad,قتلة سيدي سعيد,Gueltat Sidi Saad,03,الأغواط,Laghouat,6546020
74,الحاج مشري,Hadj Mechri,بريدة,Brida,03,الأغواط,Laghouat,6546021
75,حاسي الدلاعة,Hassi Delaa,حاسي الرمل,Hassi R'mel,03,الأغواط,Laghouat,6546022
76,حاسي الرمل,Hassi R'mel,حاسي الرمل,Hassi R'mel,03,الأغواط,Laghouat,6546023
77,الخنق,Kheneg,عين ماضي,Ain Madhi,03,الأغواط,Laghouat,6546024
78,قصر الحيران,Ksar El Hirane,قصر الحيران,Ksar El Hirane,03,الأغواط,Laghouat,6810403
79,الأغواط,Laghouat,الأغواط,Laghouat,03,الأغواط,Laghouat,6546026
80,وادي مرة,Oued Morra,وادي مرة,Oued Morra,03,الأغواط,Laghouat,6546028
81,وادي مزي,Oued M'zi,وادي مرة,Oued Morra,03,الأغواط,Laghouat,6546027
82,سبقاق,Sebgag,أفلو,Aflou,03,الأغواط,Laghouat,6546029
83,سيدي بوزيد,Sidi Bouzid,أفلو,Aflou,03,الأغواط,Laghouat,6546030
84,سيدي مخلوف,Sidi Makhlouf,سيدي مخلوف,Sidi Makhlouf,03,الأغواط,Laghouat,6546031
85,تاجموت,Tadjemout,عين ماضي,Ain Madhi,03,الأغواط,Laghouat,6546032
86,تاجرونة,Tadjrouna,عين ماضي,Ain Madhi,03,الأغواط,Laghouat,6546033
87,تاويالة,Taouiala,بريدة,Brida,03,الأغواط,Laghouat,6546034
88,عين ببوش,Ain Babouche,عين ببوش,Ain Babouche,04,أم البواقي,Oum El Bouaghi,4471690
89,عين البيضاء,Ain Beida,عين البيضاء,Ain Beida,04,أم البواقي,Oum El Bouaghi,4603105
90,عين الديس,Ain Diss,عين ببوش,Ain Babouche,04,أم البواقي,Oum El Bouaghi,3671772
91,عين فكرون,Ain Fekroun,عين فكرون,Ain Fekroun,04,أم البواقي,Oum El Bouaghi,4469737
92,عين كرشة,Ain Kercha,عين كرشة,Ain Kercha,04,أم البواقي,Oum El Bouaghi,4470516
93,عين مليلة,Ain M'lila,عين مليلة,Ain M'lila,04,أم البواقي,Oum El Bouaghi,3678573
94,عين الزيتون,Ain Zitoun,أم البواقي,Oum El Bouaghi,04,أم البواقي,Oum El Bouaghi,4471647
95,بحير الشرقي,Behir Chergui,مسكيانة,Meskiana,04,أم البواقي,Oum El Bouaghi,4489885
96,بريش,Berriche,عين البيضاء,Ain Beida,04,أم البواقي,Oum El Bouaghi,4489752
97,بئر الشهداء,Bir Chouhada,سوق نعمان,Souk Naamane,04,أم البواقي,Oum El Bouaghi,4432659
98,الضلعة,Dhalaa,الضلعة,Dhalaa,04,أم البواقي,Oum El Bouaghi,6547241
99,العامرية,El Amiria,سيقوس,Sigus,04,أم البواقي,Oum El Bouaghi,3669980
100,البلالة,El Belala,مسكيانة,Meskiana,04,أم البواقي,Oum El Bouaghi,4494201
101,الجازية,El Djazia,الضلعة,Dhalaa,04,أم البواقي,Oum El Bouaghi,4491892
102,الفجوج بوغرارة سعودي,El Fedjoudj Boughrara Sa,عين فكرون,Ain Fekroun,04,أم البواقي,Oum El Bouaghi,4471633
103,الحرملية,El Harmilia,عين كرشة,Ain Kercha,04,أم البواقي,Oum El Bouaghi,4469646
104,فكيرينة,Fkirina,فكيرينة,F'kirina,04,أم البواقي,Oum El Bouaghi,4486870
